Journal	ISSN	eISSN	Category	IF(2024)	IF Quartile(2024)	IF Rank(2024)	id
MINI-REVIEWS IN MEDICINAL CHEMISTRY	1389-5575	1875-5607	"CHEMISTRY, MEDICINAL(SCIE)"	3.3	3	38/72	12307
Chemistry-An Asian Journal	1861-4728	1861-471X	"CHEMISTRY, MULTIDISCIPLINARY(SCIE)"	3.3	2	102/239	12308
Current Hematologic Malignancy Reports	1558-8211	1558-822X	HEMATOLOGY(SCIE);ONCOLOGY(SCIE)	3.3	2	28/98	12309
Nanomaterials and Nanotechnology	1847-9804	1847-9804	"MATERIALS SCIENCE, MULTIDISCIPLINARY(SCIE);NANOSCIENCE & NANOTECHNOLOGY(SCIE);PHYSICS, APPLIED(SCIE)"	3.3	2	69/187	12310
Emerging Topics in Life Sciences	2397-8554	2397-8562	BIOCHEMISTRY & MOLECULAR BIOLOGY(ESCI);BIOLOGY(ESCI)	3.3	1	24/107	12311
Computer Law & Security Review	0267-3649	0267-3649	LAW(SSCI)	3.2	1	10/434	12312
JOURNAL OF THE AMERICAN MATHEMATICAL SOCIETY	0894-0347	1088-6834	MATHEMATICS(SCIE)	3.2	1	8/483	12313
Internet Policy Review	2197-6775	2197-6775	COMMUNICATION(ESCI);LAW(ESCI)	3.2	1	10/434	12314
LAW AND HUMAN BEHAVIOR	0147-7307	1573-661X	"LAW(SSCI);PSYCHOLOGY, SOCIAL(SSCI)"	3.2	1	10/434	12315
Active Learning in Higher Education	1469-7874	1741-2625	EDUCATION & EDUCATIONAL RESEARCH(SSCI)	3.2	1	84/756	12316
COMMUNICATION RESEARCH	0093-6502	1552-3810	COMMUNICATION(SSCI)	3.2	1	26/227	12317
TWMS Journal of Pure and Applied Mathematics	2076-2585	2219-1259	"MATHEMATICS(SCIE);MATHEMATICS, APPLIED(SCIE)"	3.2	1	8/483	12318
MINERVA	0026-4695	1573-1871	"EDUCATION & EDUCATIONAL RESEARCH(SSCI);HISTORY & PHILOSOPHY OF SCIENCE(SSCI);SOCIAL SCIENCES, INTERDISCIPLINARY(SSCI)"	3.2	1	5/112	12319
European Journal of Higher Education	2156-8235	2156-8243	EDUCATION & EDUCATIONAL RESEARCH(ESCI)	3.2	1	84/756	12320
Education and Training	0040-0912	1758-6127	EDUCATION & EDUCATIONAL RESEARCH(SSCI)	3.2	1	84/756	12321
APPLIED AND COMPUTATIONAL HARMONIC ANALYSIS	1063-5203	1096-603X	"MATHEMATICS, APPLIED(SCIE)"	3.2	1	13/343	12322
STUDIES IN HIGHER EDUCATION	0307-5079	1470-174X	EDUCATION & EDUCATIONAL RESEARCH(SSCI)	3.2	1	84/756	12323
GOVERNMENT AND OPPOSITION	0017-257X	1477-7053	POLITICAL SCIENCE(SSCI)	3.2	1	44/322	12324
JOURNALS OF GERONTOLOGY SERIES B-PSYCHOLOGICAL SCIENCES AND SOCIAL SCIENCES	1079-5014	1758-5368	"GERIATRICS & GERONTOLOGY(SCIE);GERONTOLOGY(SSCI);PSYCHOLOGY(SCIE);PSYCHOLOGY, MULTIDISCIPLINARY(SSCI)"	3.2	1	36/221	12325
Dermatitis	1710-3568	2162-5220	DERMATOLOGY(SCIE)	3.2	1	22/96	12326
ANGLE ORTHODONTIST	0003-3219	1945-7103	"DENTISTRY, ORAL SURGERY & MEDICINE(SCIE)"	3.2	1	27/162	12327
Chemistry Education Research and Practice	1109-4028	1756-1108	"EDUCATION & EDUCATIONAL RESEARCH(SSCI);EDUCATION, SCIENTIFIC DISCIPLINES(SCIE)"	3.2	1	84/756	12328
Journal of Cybersecurity	2057-2085	2057-2093	"SOCIAL SCIENCES, INTERDISCIPLINARY(ESCI)"	3.2	1	23/271	12329
Ophthalmology Glaucoma	2589-4234	2589-4196	OPHTHALMOLOGY(ESCI)	3.2	1	17/98	12330
ARCHIVES OF DISEASE IN CHILDHOOD	0003-9888	1468-2044	PEDIATRICS(SCIE)	3.2	1	24/191	12331
GERONTOLOGIST	0016-9013	1758-5341	GERONTOLOGY(SSCI)	3.2	1	10/48	12332
CHAOS	1054-1500	1089-7682	"MATHEMATICS, APPLIED(SCIE);PHYSICS, MATHEMATICAL(SCIE)"	3.2	1	13/343	12333
Journal of the World Federation of Orthodontists	2212-4438	2212-4438	"DENTISTRY, ORAL SURGERY & MEDICINE(ESCI)"	3.2	1	27/162	12334
ACADEMIC EMERGENCY MEDICINE	1069-6563	1553-2712	EMERGENCY MEDICINE(SCIE)	3.2	1	7/56	12335
JOURNAL OF CATARACT AND REFRACTIVE SURGERY	0886-3350	1873-4502	OPHTHALMOLOGY(SCIE);SURGERY(SCIE)	3.2	1	44/312	12336
ARCHIVES OF PATHOLOGY & LABORATORY MEDICINE	0003-9985	1543-2165	"MEDICAL LABORATORY TECHNOLOGY(SCIE);MEDICINE, RESEARCH & EXPERIMENTAL(SCIE);PATHOLOGY(SCIE)"	3.2	2	23/90	12337
Crime and Justice-A Review of Research	0192-3234	2153-0416	CRIMINOLOGY & PENOLOGY(SSCI)	3.2	1	7/111	12338
Progress in Nuclear Energy	0149-1970	1878-4224	NUCLEAR SCIENCE & TECHNOLOGY(SCIE)	3.2	1	4/41	12339
ACM TRANSACTIONS ON MATHEMATICAL SOFTWARE	0098-3500	1557-7295	"COMPUTER SCIENCE, SOFTWARE ENGINEERING(SCIE);MATHEMATICS, APPLIED(SCIE)"	3.2	1	13/343	12340
Review of Policy Research	1541-132X	1541-1338	POLITICAL SCIENCE(SSCI);PUBLIC ADMINISTRATION(SSCI)	3.2	1	44/322	12341
AMERICAN JOURNAL OF NEPHROLOGY	0250-8095	1421-9670	UROLOGY & NEPHROLOGY(SCIE)	3.2	1	29/133	12342
COGNITIVE BEHAVIOUR THERAPY	1650-6073	1651-2316	"PSYCHOLOGY, CLINICAL(SSCI)"	3.2	1	36/185	12343
Social Psychology of Education	1381-2890	1573-1928	"PSYCHOLOGY, EDUCATIONAL(SSCI)"	3.2	1	18/74	12344
Brazilian Journal of Physical Therapy	1413-3555	1809-9246	ORTHOPEDICS(SCIE);REHABILITATION(SCIE)	3.2	1	16/173	12345
REVIEW OF GENERAL PSYCHOLOGY	1089-2680	1939-1552	"PSYCHOLOGY, MULTIDISCIPLINARY(SSCI)"	3.2	1	36/221	12346
Journal of Periodontal and Implant Science	2093-2278	2093-2286	"DENTISTRY, ORAL SURGERY & MEDICINE(SCIE)"	3.2	1	27/162	12347
Journal of Addiction Medicine	1932-0620	1935-3227	SUBSTANCE ABUSE(SCIE)	3.2	1	12/58	12348
Public Policy and Administration	0952-0767	1749-4192	PUBLIC ADMINISTRATION(SSCI)	3.2	1	14/90	12349
INTERNATIONAL JOURNAL FOR PARASITOLOGY	0020-7519	1879-0135	PARASITOLOGY(SCIE)	3.2	1	9/47	12350
PATHOLOGY RESEARCH AND PRACTICE	0344-0338	1618-0631	PATHOLOGY(SCIE)	3.2	2	23/90	12351
International Journal of Veterinary Science and Medicine	2314-4580	2314-4599	VETERINARY SCIENCES(ESCI)	3.2	1	12/170	12352
Paleoceanography and Paleoclimatology	2572-4517	2572-4525	"GEOSCIENCES, MULTIDISCIPLINARY(SCIE);OCEANOGRAPHY(SCIE);PALEONTOLOGY(SCIE)"	3.2	1	2/56	12353
HEALTH PSYCHOLOGY	0278-6133	1930-7810	"PSYCHOLOGY(SCIE);PSYCHOLOGY, CLINICAL(SSCI)"	3.2	1	18/93	12354
Asian Journal of Business Ethics	2210-6723	2210-6731	ETHICS(ESCI)	3.2	1	10/77	12355
MINNESOTA LAW REVIEW	0026-5535	0026-5535	LAW(SSCI)	3.2	1	10/434	12356
Ophthalmology and Therapy	2193-8245	2193-6528	OPHTHALMOLOGY(SCIE)	3.2	1	17/98	12357
EVOLUTION AND HUMAN BEHAVIOR	1090-5138	1879-0607	"BEHAVIORAL SCIENCES(SCIE);PSYCHOLOGY, BIOLOGICAL(SSCI);SOCIAL SCIENCES, BIOMEDICAL(SSCI)"	3.2	1	45734	12358
Insect Conservation and Diversity	1752-458X	1752-4598	ENTOMOLOGY(SCIE)	3.2	1	11/110	12359
Psychology Research and Behavior Management	1179-1578	1179-1578	"PSYCHOLOGY, CLINICAL(SSCI);PSYCHOLOGY, MULTIDISCIPLINARY(SSCI)"	3.2	1	36/221	12360
Preventive Medicine	0091-7435	1096-0260	"MEDICINE, GENERAL & INTERNAL(SCIE);PUBLIC, ENVIRONMENTAL & OCCUPATIONAL HEALTH(SCIE)"	3.2	1	59/332	12361
DEVELOPMENTAL SCIENCE	1363-755X	1467-7687	"PSYCHOLOGY, DEVELOPMENTAL(SSCI);PSYCHOLOGY, EXPERIMENTAL(SSCI)"	3.2	1	12/102	12362
ZAMM-Zeitschrift fur Angewandte Mathematik und Mechanik	0044-2267	1521-4001	"MATHEMATICS, APPLIED(SCIE);MECHANICS(SCIE)"	3.2	1	13/343	12363
Health Research Policy and Systems	1478-4505	1478-4505	HEALTH POLICY & SERVICES(SSCI)	3.2	1	21/124	12364
HEALTH SERVICES RESEARCH	0017-9124	1475-6773	HEALTH CARE SCIENCES & SERVICES(SCIE);HEALTH POLICY & SERVICES(SSCI)	3.2	1	21/124	12365
INFORMATION ECONOMICS AND POLICY	0167-6245	1873-5975	ECONOMICS(SSCI)	3.2	1	111/617	12366
PSYCHIATRIC SERVICES	1075-2730	1557-9700	"HEALTH POLICY & SERVICES(SSCI);PSYCHIATRY(SCIE);PUBLIC, ENVIRONMENTAL & OCCUPATIONAL HEALTH(SCIE, SSCI)"	3.2	1	21/124	12367
SKIN RESEARCH AND TECHNOLOGY	0909-752X	1600-0846	DERMATOLOGY(SCIE)	3.2	1	22/96	12368
JOURNAL OF ADOLESCENCE	0140-1971	1095-9254	"PSYCHOLOGY, DEVELOPMENTAL(SSCI)"	3.2	2	24/94	12369
Addiction Science & Clinical Practice	1940-0640	1940-0640	"SUBSTANCE ABUSE(SCIE, SSCI)"	3.2	1	12/58	12370
Animal Cells and Systems	1976-8354	2151-2485	CELL BIOLOGY(SCIE);ZOOLOGY(SCIE)	3.2	1	9/181	12371
Collabra-Psychology	2474-7394	2474-7394	"PSYCHOLOGY, MULTIDISCIPLINARY(SSCI)"	3.2	1	36/221	12372
EYE	0950-222X	1476-5454	OPHTHALMOLOGY(SCIE)	3.2	1	17/98	12373
FORESTRY	0015-752X	1464-3626	FORESTRY(SCIE)	3.2	1	14/92	12374
INTERNATIONAL JOURNAL OF ROBUST AND NONLINEAR CONTROL	1049-8923	1099-1239	"AUTOMATION & CONTROL SYSTEMS(SCIE);ENGINEERING, ELECTRICAL & ELECTRONIC(SCIE);MATHEMATICS, APPLIED(SCIE)"	3.2	1	13/343	12375
JOURNAL OF TELEMEDICINE AND TELECARE	1357-633X	1758-1109	HEALTH CARE SCIENCES & SERVICES(SCIE)	3.2	2	48/185	12376
Clinical Epidemiology	1179-1349	1179-1349	"PUBLIC, ENVIRONMENTAL & OCCUPATIONAL HEALTH(SCIE)"	3.2	1	90/419	12377
EJNMMI Physics	2197-7364	2197-7364	"RADIOLOGY, NUCLEAR MEDICINE & MEDICAL IMAGING(SCIE)"	3.2	1	51/212	12378
JOURNAL OF RENAL NUTRITION	1051-2276	1532-8503	NUTRITION & DIETETICS(SCIE);UROLOGY & NEPHROLOGY(SCIE)	3.2	1	29/133	12379
EMPLOYEE RELATIONS	0142-5455	1758-7069	INDUSTRIAL RELATIONS & LABOR(SSCI);MANAGEMENT(SSCI)	3.2	1	13/52	12380
JOURNAL OF PSYCHIATRIC RESEARCH	0022-3956	1879-1379	"PSYCHIATRY(SCIE, SSCI)"	3.2	2	91/288	12381
JOURNAL OF EUROPEAN SOCIAL POLICY	0958-9287	1461-7269	PUBLIC ADMINISTRATION(SSCI);SOCIAL ISSUES(SSCI)	3.2	1	10/68	12382
MEDICAL PHYSICS	0094-2405	2473-4209	"RADIOLOGY, NUCLEAR MEDICINE & MEDICAL IMAGING(SCIE)"	3.2	1	51/212	12383
DEVELOPMENT AND CHANGE	0012-155X	1467-7660	DEVELOPMENT STUDIES(SSCI)	3.2	1	13/65	12384
JOURNAL OF APPLIED SPORT PSYCHOLOGY	1041-3200	1533-1571	"HOSPITALITY, LEISURE, SPORT & TOURISM(SSCI);PSYCHOLOGY(SCIE);PSYCHOLOGY, APPLIED(SSCI);SPORT SCIENCES(SCIE)"	3.2	1	25/133	12385
Qualitative Research in Sport Exercise and Health	2159-676X	2159-6778	"HOSPITALITY, LEISURE, SPORT & TOURISM(SSCI);PSYCHOLOGY, APPLIED(SSCI);SPORT SCIENCES(SCIE)"	3.2	1	25/133	12386
PUBLIC HEALTH	0033-3506	1476-5616	"PUBLIC, ENVIRONMENTAL & OCCUPATIONAL HEALTH(SCIE, SSCI)"	3.2	1	90/419	12387
Hematology-American Society of Hematology Education Program	1520-4391	1520-4383	"EDUCATION, SCIENTIFIC DISCIPLINES(SCIE);HEMATOLOGY(SCIE)"	3.2	1	18/86	12388
Environment and Planning E-Nature and Space	2514-8486	2514-8494	ENVIRONMENTAL STUDIES(SSCI);GEOGRAPHY(SSCI)	3.2	1	25/173	12389
HEALTH EXPECTATIONS	1369-6513	1369-7625	"HEALTH CARE SCIENCES & SERVICES(SCIE);HEALTH POLICY & SERVICES(SSCI);PUBLIC, ENVIRONMENTAL & OCCUPATIONAL HEALTH(SCIE, SSCI)"	3.2	1	21/124	12390
JOURNAL OF ANIMAL SCIENCE AND TECHNOLOGY	2672-0191	2055-0391	"AGRICULTURE, DAIRY & ANIMAL SCIENCE(SCIE);VETERINARY SCIENCES(SCIE)"	3.2	1	12/170	12391
Archives of Public Health	0778-7367	2049-3258	"PUBLIC, ENVIRONMENTAL & OCCUPATIONAL HEALTH(SCIE, SSCI)"	3.2	1	90/419	12392
Journal of Nuclear Materials	0022-3115	1873-4820	"MATERIALS SCIENCE, MULTIDISCIPLINARY(SCIE);NUCLEAR SCIENCE & TECHNOLOGY(SCIE)"	3.2	1	4/41	12393
Biomedical Optics Express	2156-7085	2156-7085	"BIOCHEMICAL RESEARCH METHODS(SCIE);OPTICS(SCIE);RADIOLOGY, NUCLEAR MEDICINE & MEDICAL IMAGING(SCIE)"	3.2	1	51/212	12394
BMC MEDICAL IMAGING	1471-2342	1471-2342	"RADIOLOGY, NUCLEAR MEDICINE & MEDICAL IMAGING(SCIE)"	3.2	1	51/212	12395
Evolutionary Applications	1752-4571	1752-4571	EVOLUTIONARY BIOLOGY(SCIE)	3.2	2	15/53	12396
International Journal of Health Geographics	1476-072X	1476-072X	"PUBLIC, ENVIRONMENTAL & OCCUPATIONAL HEALTH(SCIE, SSCI)"	3.2	1	90/419	12397
Journal of the Association of Environmental and Resource Economists	2333-5955	2333-5963	ECONOMICS(SSCI);ENVIRONMENTAL STUDIES(SSCI)	3.2	1	111/617	12398
STRUCTURAL EQUATION MODELING-A MULTIDISCIPLINARY JOURNAL	1070-5511	1532-8007	"MATHEMATICS, INTERDISCIPLINARY APPLICATIONS(SCIE);SOCIAL SCIENCES, MATHEMATICAL METHODS(SSCI)"	3.2	1	12/68	12399
Tourism Economics	1354-8166	2044-0375	"ECONOMICS(SSCI);HOSPITALITY, LEISURE, SPORT & TOURISM(SSCI)"	3.2	1	111/617	12400
World Journal Of Emergency Medicine	1920-8642	1920-8642	EMERGENCY MEDICINE(SCIE)	3.2	1	7/56	12401
ANNALS OF AGRICULTURAL SCIENCES	0570-1783	2090-8377	"AGRICULTURE, MULTIDISCIPLINARY(SCIE)"	3.2	1	20/94	12402
SKIN PHARMACOLOGY AND PHYSIOLOGY	1660-5527	1660-5535	DERMATOLOGY(SCIE);PHARMACOLOGY & PHARMACY(SCIE)	3.2	1	22/96	12403
Environmental Epigenetics	2058-5888	2058-5888	GENETICS & HEREDITY(ESCI)	3.2	2	66/191	12404
Journal of Mental Health	0963-8237	1360-0567	"PSYCHIATRY(SSCI);PSYCHOLOGY, CLINICAL(SSCI)"	3.2	1	36/185	12405
INORGANICA CHIMICA ACTA	0020-1693	1873-3255	"CHEMISTRY, INORGANIC & NUCLEAR(SCIE)"	3.2	2	13/42	12406
CANCER CYTOPATHOLOGY	1934-662X	1934-6638	ONCOLOGY(SCIE);PATHOLOGY(SCIE)	3.2	2	23/90	12407
CLIMACTERIC	1369-7137	1473-0804	OBSTETRICS & GYNECOLOGY(SCIE)	3.2	1	21/140	12408
Climate of the Past	1814-9324	1814-9332	"GEOSCIENCES, MULTIDISCIPLINARY(SCIE);METEOROLOGY & ATMOSPHERIC SCIENCES(SCIE)"	3.2	2	82/258	12409
Journal of Economic Policy Reform	1748-7870	1748-7889	DEVELOPMENT STUDIES(SSCI);ECONOMICS(SSCI)	3.2	1	111/617	12410
Journal of Global Antimicrobial Resistance	2213-7165	2213-7173	INFECTIOUS DISEASES(SCIE);PHARMACOLOGY & PHARMACY(SCIE)	3.2	2	43/137	12411
JOURNAL OF THE PERIPHERAL NERVOUS SYSTEM	1085-9489	1529-8027	CLINICAL NEUROLOGY(SCIE);NEUROSCIENCES(SCIE)	3.2	2	93/285	12412
ENVIRONMENTAL TOXICOLOGY	1520-4081	1522-7278	ENVIRONMENTAL SCIENCES(SCIE);TOXICOLOGY(SCIE);WATER RESOURCES(SCIE)	3.2	2	42/131	12413
JOURNAL OF INORGANIC BIOCHEMISTRY	0162-0134	1873-3344	"BIOCHEMISTRY & MOLECULAR BIOLOGY(SCIE);CHEMISTRY, INORGANIC & NUCLEAR(SCIE)"	3.2	2	13/42	12414
SEMINARS IN PERINATOLOGY	0146-0005	1558-075X	OBSTETRICS & GYNECOLOGY(SCIE);PEDIATRICS(SCIE)	3.2	1	24/191	12415
Annals of Global Health	2214-9996	2214-9996	"PUBLIC, ENVIRONMENTAL & OCCUPATIONAL HEALTH(SCIE)"	3.2	1	90/419	12416
ECOLOGICAL MODELLING	0304-3800	1872-7026	ECOLOGY(SCIE)	3.2	2	58/200	12417
International Journal of Cardiology	0167-5273	1874-1754	CARDIAC & CARDIOVASCULAR SYSTEMS(SCIE)	3.2	2	68/230	12418
JOURNAL OF ENGINEERING MECHANICS	0733-9399	1943-7889	"ENGINEERING, MECHANICAL(SCIE)"	3.2	2	52/182	12419
Magnetic Resonance in Medical Sciences	1347-3182	1880-2206	"RADIOLOGY, NUCLEAR MEDICINE & MEDICAL IMAGING(SCIE)"	3.2	1	51/212	12420
BULLETIN OF VOLCANOLOGY	0258-8900	1432-0819	"GEOSCIENCES, MULTIDISCIPLINARY(SCIE)"	3.2	2	82/258	12421
FEMS MICROBIOLOGY ECOLOGY	0168-6496	1574-6941	MICROBIOLOGY(SCIE)	3.2	2	76/163	12422
Frontiers in Psychiatry	1664-0640	1664-0640	"PSYCHIATRY(SCIE, SSCI)"	3.2	2	91/288	12423
SEISMOLOGICAL RESEARCH LETTERS	0895-0695	1938-2057	GEOCHEMISTRY & GEOPHYSICS(SCIE)	3.2	1	25/100	12424
Geophysics	0016-8033	1942-2156	GEOCHEMISTRY & GEOPHYSICS(SCIE)	3.2	1	25/100	12425
MARINE ENVIRONMENTAL RESEARCH	0141-1136	1879-0291	ENVIRONMENTAL SCIENCES(SCIE);MARINE & FRESHWATER BIOLOGY(SCIE);TOXICOLOGY(SCIE)	3.2	1	13/119	12426
CELL TRANSPLANTATION	0963-6897	1555-3892	"CELL & TISSUE ENGINEERING(SCIE);MEDICINE, RESEARCH & EXPERIMENTAL(SCIE);TRANSPLANTATION(SCIE)"	3.2	2	9/31	12427
Journal of Physiological Sciences	1880-6546	1880-6562	PHYSIOLOGY(SCIE)	3.2	2	24/87	12428
Journal of Bronchology & Interventional Pulmonology	1944-6586	1948-8270	RESPIRATORY SYSTEM(ESCI)	3.2	2	32/108	12429
Parenting-Science and Practice	1529-5192	1532-7922	"FAMILY STUDIES(SSCI);PSYCHOLOGY, DEVELOPMENTAL(SSCI)"	3.2	1	8/66	12430
PRECAMBRIAN RESEARCH	0301-9268	1872-7433	"GEOSCIENCES, MULTIDISCIPLINARY(SCIE)"	3.2	2	82/258	12431
SEMINARS IN RADIATION ONCOLOGY	1053-4296	1532-9461	"ONCOLOGY(SCIE);RADIOLOGY, NUCLEAR MEDICINE & MEDICAL IMAGING(SCIE)"	3.2	1	51/212	12432
International Journal of Ethics and Systems	2514-9369	2514-9377	ECONOMICS(ESCI)	3.2	1	111/617	12433
CYTOTHERAPY	1465-3249	1477-2566	"BIOTECHNOLOGY & APPLIED MICROBIOLOGY(SCIE);CELL & TISSUE ENGINEERING(SCIE);CELL BIOLOGY(SCIE);HEMATOLOGY(SCIE);MEDICINE, RESEARCH & EXPERIMENTAL(SCIE)"	3.2	2	29/98	12434
JOURNAL OF RHEOLOGY	0148-6055	1520-8516	MECHANICS(SCIE)	3.2	2	54/171	12435
Neurology-Clinical Practice	2163-0402	2163-0933	CLINICAL NEUROLOGY(ESCI)	3.2	2	93/285	12436
Epigenetics	1559-2294	1559-2308	BIOCHEMISTRY & MOLECULAR BIOLOGY(SCIE);GENETICS & HEREDITY(SCIE)	3.2	2	66/191	12437
HUMAN MOLECULAR GENETICS	0964-6906	1460-2083	BIOCHEMISTRY & MOLECULAR BIOLOGY(SCIE);GENETICS & HEREDITY(SCIE)	3.2	2	66/191	12438
International Journal of Medical Sciences	1449-1907	1449-1907	"MEDICINE, GENERAL & INTERNAL(SCIE)"	3.2	1	59/332	12439
JOURNAL OF THE NEUROLOGICAL SCIENCES	0022-510X	1878-5883	CLINICAL NEUROLOGY(SCIE);NEUROSCIENCES(SCIE)	3.2	2	93/285	12440
Software and Systems Modeling	1619-1366	1619-1374	"COMPUTER SCIENCE, SOFTWARE ENGINEERING(SCIE)"	3.2	2	38/128	12441
HUMAN & EXPERIMENTAL TOXICOLOGY	0960-3271	1477-0903	TOXICOLOGY(SCIE)	3.2	2	39/106	12442
JOURNAL OF THE WORLD AQUACULTURE SOCIETY	0893-8849	1749-7345	FISHERIES(SCIE)	3.2	1	13/61	12443
JOURNAL OF PHARMACY AND PHARMACOLOGY	0022-3573	2042-7158	PHARMACOLOGY & PHARMACY(SCIE)	3.2	2	126/352	12444
EUROPEAN PLANNING STUDIES	0965-4313	1469-5944	ENVIRONMENTAL STUDIES(SSCI);GEOGRAPHY(SSCI);REGIONAL & URBAN PLANNING(SSCI);URBAN STUDIES(SSCI)	3.2	1	25/173	12445
AEU-INTERNATIONAL JOURNAL OF ELECTRONICS AND COMMUNICATIONS	1434-8411	1618-0399	"ENGINEERING, ELECTRICAL & ELECTRONIC(SCIE);TELECOMMUNICATIONS(SCIE)"	3.2	2	142/366	12446
Gut and Liver	1976-2283	2005-1212	GASTROENTEROLOGY & HEPATOLOGY(SCIE)	3.2	2	53/147	12447
IEEE Journal of Electromagnetics RF and Microwaves in Medicine and Biology	2469-7249	2469-7257	"ENGINEERING, ELECTRICAL & ELECTRONIC(ESCI)"	3.2	2	142/366	12448
Biomolecules & Therapeutics	1976-9148	2005-4483	PHARMACOLOGY & PHARMACY(SCIE)	3.2	2	126/352	12449
CALCIFIED TISSUE INTERNATIONAL	0171-967X	1432-0827	ENDOCRINOLOGY & METABOLISM(SCIE)	3.2	2	86/191	12450
Journal of Cognitive Engineering and Decision Making	1555-3434	2169-5032	"ENGINEERING, INDUSTRIAL(ESCI);ERGONOMICS(ESCI);PSYCHOLOGY, APPLIED(ESCI)"	3.2	2	37/115	12451
JOURNAL OF CONSUMER AFFAIRS	0022-0078	1745-6606	BUSINESS(SSCI);ECONOMICS(SSCI)	3.2	1	111/617	12452
MOLECULAR CARCINOGENESIS	0899-1987	1098-2744	BIOCHEMISTRY & MOLECULAR BIOLOGY(SCIE);ONCOLOGY(SCIE)	3.2	2	129/326	12453
BIODEGRADATION	0923-9820	1572-9729	BIOTECHNOLOGY & APPLIED MICROBIOLOGY(SCIE)	3.2	2	75/177	12454
International Journal of Information Security	1615-5262	1615-5270	"COMPUTER SCIENCE, INFORMATION SYSTEMS(SCIE);COMPUTER SCIENCE, SOFTWARE ENGINEERING(SCIE);COMPUTER SCIENCE, THEORY & METHODS(SCIE)"	3.2	2	42/147	12455
Journal of Cancer	1837-9664	1837-9664	ONCOLOGY(SCIE)	3.2	2	129/326	12456
Journal of the European Optical Society-Rapid Publications	1990-2573	1990-2573	OPTICS(SCIE)	3.2	2	43/125	12457
International Journal of Clinical Pharmacy	2210-7703	2210-7711	PHARMACOLOGY & PHARMACY(SCIE)	3.2	2	126/352	12458
INTERNATIONAL JOURNAL OF DERMATOLOGY	0011-9059	1365-4632	DERMATOLOGY(SCIE)	3.2	1	22/96	12459
JOURNAL OF COMMUNICATIONS AND NETWORKS	1229-2370	1976-5541	"COMPUTER SCIENCE, INFORMATION SYSTEMS(SCIE);TELECOMMUNICATIONS(SCIE)"	3.2	2	109/258	12460
Journal of Mechanisms and Robotics-Transactions of the ASME	1942-4302	1942-4310	"ENGINEERING, MECHANICAL(SCIE);ROBOTICS(SCIE)"	3.2	2	52/182	12461
NAR Cancer	2632-8674	2632-8674	BIOCHEMISTRY & MOLECULAR BIOLOGY(ESCI);ONCOLOGY(ESCI)	3.2	2	129/326	12462
World Journal of Traditional Chinese Medicine	2311-8571	2589-2894	"INTEGRATIVE & COMPLEMENTARY MEDICINE(ESCI);MEDICINE, RESEARCH & EXPERIMENTAL(ESCI);PHARMACOLOGY & PHARMACY(ESCI)"	3.2	2	12/45	12463
CLINICAL & EXPERIMENTAL METASTASIS	0262-0898	1573-7276	ONCOLOGY(SCIE)	3.2	2	129/326	12464
Environmental Pollutants and Bioavailability	2639-5932	2639-5940	BIOCHEMISTRY & MOLECULAR BIOLOGY(SCIE);ENVIRONMENTAL SCIENCES(SCIE);TOXICOLOGY(SCIE)	3.2	2	39/106	12465
INTERNATIONAL JOURNAL OF NON-LINEAR MECHANICS	0020-7462	1878-5638	MECHANICS(SCIE)	3.2	2	54/171	12466
Clinical Colorectal Cancer	1533-0028	1938-0674	ONCOLOGY(SCIE)	3.2	2	129/326	12467
IEEE TRANSACTIONS ON ELECTRON DEVICES	0018-9383	1557-9646	"ENGINEERING, ELECTRICAL & ELECTRONIC(SCIE);PHYSICS, APPLIED(SCIE)"	3.2	2	71/187	12468
International Journal of Microbiology	1687-918X	1687-9198	MICROBIOLOGY(ESCI)	3.2	2	76/163	12469
Applied Computing and Geosciences	2590-1974	2590-1974	"COMPUTER SCIENCE, INTERDISCIPLINARY APPLICATIONS(ESCI);GEOSCIENCES, MULTIDISCIPLINARY(ESCI)"	3.2	2	82/258	12470
FATIGUE & FRACTURE OF ENGINEERING MATERIALS & STRUCTURES	8756-758X	1460-2695	"ENGINEERING, MECHANICAL(SCIE);MATERIALS SCIENCE, MULTIDISCIPLINARY(SCIE)"	3.2	2	52/182	12471
JOURNAL OF PHYSICAL AND CHEMICAL REFERENCE DATA	0047-2689	1529-7845	"CHEMISTRY, MULTIDISCIPLINARY(SCIE);CHEMISTRY, PHYSICAL(SCIE);PHYSICS, MULTIDISCIPLINARY(SCIE)"	3.2	2	31/114	12472
PHARMACOLOGY	0031-7012	1423-0313	PHARMACOLOGY & PHARMACY(SCIE)	3.2	2	126/352	12473
JOURNAL OF APPLIED MICROBIOLOGY	1364-5072	1365-2672	BIOTECHNOLOGY & APPLIED MICROBIOLOGY(SCIE);MICROBIOLOGY(SCIE)	3.2	2	75/177	12474
PHOTOCHEMICAL & PHOTOBIOLOGICAL SCIENCES	1474-905X	1474-9092	"BIOCHEMISTRY & MOLECULAR BIOLOGY(SCIE);BIOPHYSICS(SCIE);CHEMISTRY, PHYSICAL(SCIE)"	3.2	2	21/79	12475
INTERNATIONAL IMMUNOLOGY	0953-8178	1460-2377	IMMUNOLOGY(SCIE)	3.2	2	87/183	12476
Journal of Clinical and Experimental Hepatology	0973-6883	2213-3453	GASTROENTEROLOGY & HEPATOLOGY(ESCI)	3.2	2	53/147	12477
